displayUserNick,auctionSku,rateDate,rateContent
m***4,颜色分类:56 橄榄色;尺码:160/84A/M,2020-06-06 07:09:35,第二天就收到了，跟实体店一样
r***l,颜色分类:00 白色;尺码:155/80A/S,2020-06-05 18:51:54,拿出来皱得跟腌菜似的 觉得应该是别人退货了又没折好 果然在领口处发现了蹭上去的粉底 试了一下因为太皱了完全看不出效果 不过已经在实体店买了别的颜色 懒得退货了
理***院,颜色分类:56 橄榄色;尺码:155/80A/S,2020-06-05 18:00:53,满意。
南***酱,颜色分类:09 黑色;尺码:165/92A/XL,2020-06-05 13:51:03,此用户没有填写评论!
l***慢,颜色分类:12 桃红色;尺码:160/84A/M,2020-06-05 09:41:31,此用户没有填写评论!
斯***黄,颜色分类:69 藏青色;尺码:160/84A/M,2020-06-04 23:54:31,很舒服的上衣 买来上班通勤简直完美
阿***车,颜色分类:69 藏青色;尺码:165/92A/XL,2020-06-04 22:48:47,很好
付***2,颜色分类:09 黑色;尺码:165/92A/XL,2020-06-04 11:02:48,舒适，贵有贵的道理，不热的天可以当防晒服穿，五分，1.67，体重120XL宽松合适
十***2,颜色分类:09 黑色;尺码:155/80A/S,2020-06-02 22:59:06,太好看啦！！喜欢
s***3,颜色分类:69 藏青色;尺码:150/76A/XS,2020-06-01 19:49:03,155，50，xs正好，有富裕，版型一般，落肩加鸡心领设计更加凸显了肩膀窄，不收腰，好在深色不显胖，化纤不会皱，适合通勤穿。
海***o,颜色分类:56 橄榄色;尺码:160/84A/M,2020-06-01 19:07:47,喜欢
楼***4,颜色分类:00 白色;尺码:165/92A/XL,2020-06-01 19:01:12,尺码推荐：180的身高，65kg，XL号 厚薄度：清凉 面料品质：舒服
t***3,颜色分类:00 白色;尺码:160/84A/M,2020-06-01 11:05:11,很好，就是有些透，要有内搭
t***3,颜色分类:00 白色;尺码:160/88A/L,2020-06-01 11:05:11,有点透，要内搭，合适舒服
轻***年,颜色分类:56 橄榄色;尺码:155/80A/S,2020-06-01 08:56:36,买给妈妈穿的，大小刚好，布料很舒服，妈妈很喜欢
x***8,颜色分类:00 白色;尺码:160/84A/M,2020-06-01 08:17:45,容易向后跑
张***1,颜色分类:56 橄榄色;尺码:160/88A/L,2020-05-31 14:35:42,好
t***3,颜色分类:00 白色;尺码:155/80A/S,2020-05-31 13:37:05,颜色是纯白的，不是你白。就是最基础的款式。
木***s,颜色分类:12 桃红色;尺码:160/88A/L,2020-05-31 11:54:53,这个烟熏玫瑰色一样的挺好看的颜色，妈妈喜欢
白***1,颜色分类:09 黑色;尺码:165/92A/XL,2020-05-31 00:12:41,质量非常好，与卖家描述的完全一致，非常满意，真 的很喜欢，完全超出期望值，发货速度非常快，包 装非常仔细、严实，物流公司服务态度很好，运送 速度很快，很满意的一次购质量很好，希望更多的 朋友信赖．店主态度特好，我会再次光顾的，可不 可以再便宜点，我带朋友来你家
月***思,颜色分类:69 藏青色;尺码:160/84A/M,2020-05-30 23:06:23,我比较喜欢藏青色，穿着宽松舒适。
t***6,颜色分类:09 黑色;尺码:160/88A/L,2020-05-30 14:35:18,衣服款式好看，客服推荐的尺码合适，发货物流给力，会继续关注
t***7,颜色分类:00 白色;尺码:155/80A/S,2020-05-30 13:29:39,包装严实发货快，质量不错，好评！
桔***丶,颜色分类:56 橄榄色;尺码:155/80A/S,2020-05-30 09:21:02,老妈很喜欢 很适合老妈 哦耶 开心
h***6,颜色分类:00 白色;尺码:155/80A/S,2020-05-29 21:31:12,好
坏***h,颜色分类:12 桃红色;尺码:155/80A/S,2020-05-29 20:31:25,买的第二件了 颜色好看 不易皱 很好看
